1,0.87,0.44,0.4,0.37,0.27,0.25,0.23,0.25,0.22,0.21,0.33,0.31,0.3,0.37
0.87,1,0.43,0.42,0.37,0.23,0.2,0.2,0.23,0.19,0.19,0.3,0.32,0.22,0.33
0.44,0.43,1,0.84,0.63,0.33,0.26,0.28,0.32,0.25,0.21,0.35,0.32,0.31,0.39
0.4,0.42,0.84,1,0.67,0.35,0.27,0.27,0.34,0.26,0.22,0.36,0.34,0.33,0.41
0.37,0.37,0.63,0.67,1,0.33,0.3,0.23,0.32,0.29,0.19,0.42,0.38,0.39,0.43
0.27,0.23,0.33,0.35,0.33,1,0.83,0.76,0.74,0.67,0.48,0.47,0.41,0.44,0.5
0.25,0.2,0.26,0.27,0.3,0.83,1,0.46,0.66,0.73,0.38,0.39,0.35,0.36,0.43
0.23,0.2,0.28,0.27,0.23,0.76,0.46,1,0.55,0.41,0.53,0.37,0.34,0.37,0.39
0.25,0.23,0.32,0.34,0.32,0.74,0.66,0.55,1,0.81,0.76,0.4,0.38,0.38,0.42
0.22,0.19,0.25,0.26,0.29,0.67,0.73,0.41,0.81,1,0.42,0.35,0.32,0.35,0.38
0.21,0.19,0.21,0.22,0.19,0.48,0.38,0.53,0.76,0.42,1,0.27,0.3,0.26,0.3
0.33,0.3,0.35,0.36,0.42,0.47,0.39,0.37,0.4,0.35,0.27,1,0.62,0.45,0.5
0.31,0.32,0.32,0.34,0.38,0.41,0.35,0.34,0.38,0.32,0.3,0.62,1,0.34,0.41
0.3,0.22,0.31,0.33,0.39,0.44,0.36,0.37,0.38,0.35,0.26,0.45,0.34,1,0.43
0.37,0.33,0.39,0.41,0.43,0.5,0.43,0.39,0.42,0.38,0.3,0.5,0.41,0.43,1
