1,0.89,0.58,0.56,0.6,0.48,0.42,0.46,0.47,0.43,0.38,0.53,0.54,0.53,0.56
0.89,1,0.64,0.61,0.66,0.49,0.45,0.46,0.51,0.47,0.4,0.55,0.6,0.51,0.53
0.58,0.64,1,0.91,0.73,0.54,0.5,0.42,0.54,0.51,0.35,0.51,0.56,0.45,0.52
0.56,0.61,0.91,1,0.77,0.53,0.49,0.42,0.51,0.49,0.32,0.51,0.57,0.46,0.51
0.6,0.66,0.73,0.77,1,0.56,0.51,0.46,0.57,0.55,0.38,0.56,0.63,0.56,0.59
0.48,0.49,0.54,0.53,0.56,1,0.87,0.79,0.76,0.74,0.47,0.62,0.59,0.57,0.64
0.42,0.45,0.5,0.49,0.51,0.87,1,0.56,0.72,0.76,0.4,0.56,0.52,0.49,0.56
0.46,0.46,0.42,0.42,0.46,0.79,0.56,1,0.64,0.56,0.56,0.49,0.51,0.49,0.51
0.47,0.51,0.54,0.51,0.57,0.76,0.72,0.64,1,0.89,0.78,0.55,0.57,0.54,0.55
0.43,0.47,0.51,0.49,0.55,0.74,0.76,0.56,0.89,1,0.54,0.51,0.53,0.49,0.53
0.38,0.4,0.35,0.32,0.38,0.47,0.4,0.56,0.78,0.54,1,0.37,0.42,0.42,0.37
0.53,0.55,0.51,0.51,0.56,0.62,0.56,0.49,0.55,0.51,0.37,1,0.72,0.6,0.63
0.54,0.6,0.56,0.57,0.63,0.59,0.52,0.51,0.57,0.53,0.42,0.72,1,0.61,0.58
0.53,0.51,0.45,0.46,0.56,0.57,0.49,0.49,0.54,0.49,0.42,0.6,0.61,1,0.6
0.56,0.53,0.52,0.51,0.59,0.64,0.56,0.51,0.55,0.53,0.37,0.63,0.58,0.6,1
